NAMESPACE       LAST SEEN   TYPE      REASON              OBJECT                                                            MESSAGE
mesh-app        27m         Normal    Pulled              pod/loadgen-exp-172006-j6dmf                                      Successfully pulled image "fortio/fortio:1.63.0" in 3.845s (3.845s including waiting). Image size: 12600081 bytes.
mesh-app        21m         Normal    Killing             pod/loadgen-exp-172006-j6dmf                                      Stopping container istio-proxy
mesh-app        21m         Normal    Completed           job/loadgen-exp-172006                                            Job completed
observability   4m14s       Normal    SuccessfulCreate    replicaset/otel-collector-59bbdd464b                              Created pod: otel-collector-59bbdd464b-jr787
observability   4m14s       Normal    Scheduled           pod/otel-collector-59bbdd464b-jr787                               Successfully assigned observability/otel-collector-59bbdd464b-jr787 to minikube
observability   4m14s       Normal    ScalingReplicaSet   deployment/otel-collector                                         Scaled up replica set otel-collector-59bbdd464b from 0 to 1
observability   4m13s       Normal    Started             pod/otel-collector-59bbdd464b-jr787                               Container started
observability   4m13s       Normal    Created             pod/otel-collector-59bbdd464b-jr787                               Container created
observability   4m13s       Normal    Pulled              pod/otel-collector-59bbdd464b-jr787                               Container image "otel/opentelemetry-collector-contrib:0.95.0" already present on machine and can be accessed by the pod
observability   4m12s       Normal    Killing             pod/otel-collector-6cbc68cf7f-lbkt6                               Stopping container otel-collector
observability   4m12s       Normal    ScalingReplicaSet   deployment/otel-collector                                         Scaled down replica set otel-collector-6cbc68cf7f from 1 to 0
observability   4m12s       Normal    SuccessfulDelete    replicaset/otel-collector-6cbc68cf7f                              Deleted pod: otel-collector-6cbc68cf7f-lbkt6
mesh-app        4m9s        Normal    SuccessfulCreate    job/loadgen-exp-174312                                            Created pod: loadgen-exp-174312-vt97v
mesh-app        4m9s        Normal    Scheduled           pod/loadgen-exp-174312-vt97v                                      Successfully assigned mesh-app/loadgen-exp-174312-vt97v to minikube
mesh-app        4m8s        Normal    Pulled              pod/loadgen-exp-174312-vt97v                                      Container image "docker.io/istio/proxyv2:1.27.0" already present on machine and can be accessed by the pod
mesh-app        4m8s        Normal    Created             pod/loadgen-exp-174312-vt97v                                      Container created
mesh-app        4m8s        Normal    Started             pod/loadgen-exp-174312-vt97v                                      Container started
mesh-app        4m7s        Normal    Pulled              pod/loadgen-exp-174312-vt97v                                      Container image "docker.io/istio/proxyv2:1.27.0" already present on machine and can be accessed by the pod
mesh-app        4m7s        Normal    Started             pod/loadgen-exp-174312-vt97v                                      Container started
mesh-app        4m7s        Normal    Created             pod/loadgen-exp-174312-vt97v                                      Container created
mesh-app        4m5s        Normal    Pulled              pod/loadgen-exp-174312-vt97v                                      Container image "fortio/fortio:1.63.0" already present on machine and can be accessed by the pod
mesh-app        4m5s        Normal    Created             pod/loadgen-exp-174312-vt97v                                      Container created
mesh-app        4m5s        Normal    Started             pod/loadgen-exp-174312-vt97v                                      Container started
mesh-app        4s          Normal    Killing             pod/loadgen-exp-174312-vt97v                                      Stopping container istio-proxy
mesh-app        0s          Normal    Completed           job/loadgen-exp-174312                                            Job completed
