NAMESPACE       LAST SEEN   TYPE      REASON                 OBJECT                                                    MESSAGE
mesh-app        31m         Normal    Started                pod/loadgen-exp-030848-gwl4k                              Container started
mesh-app        31m         Normal    Created                pod/loadgen-exp-030848-gwl4k                              Container created
mesh-app        31m         Normal    Pulled                 pod/loadgen-exp-030848-gwl4k                              Container image "docker.io/istio/proxyv2:1.29.0" already present on machine and can be accessed by the pod
mesh-app        31m         Warning   Failed                 pod/loadgen-exp-030848-gwl4k                              Error: failed to start container "fortio": Error response from daemon: failed to create task for container: failed to create shim task: OCI runtime create failed: runc create failed: unable to start container process: error during container init: exec: "/bin/sh": stat /bin/sh: no such file or directory
mesh-app        31m         Normal    Created                pod/loadgen-exp-030848-gwl4k                              Container created
mesh-app        31m         Normal    Pulled                 pod/loadgen-exp-030848-gwl4k                              Container image "fortio/fortio:1.63.0" already present on machine and can be accessed by the pod
mesh-app        31m         Normal    Killing                pod/loadgen-exp-030848-gwl4k                              Stopping container istio-proxy
mesh-app        31m         Normal    Pulled                 pod/loadgen-exp-031113-w7pgh                              Container image "docker.io/istio/proxyv2:1.29.0" already present on machine and can be accessed by the pod
mesh-app        31m         Normal    SuccessfulCreate       job/loadgen-exp-031113                                    Created pod: loadgen-exp-031113-w7pgh
mesh-app        31m         Normal    Scheduled              pod/loadgen-exp-031113-w7pgh                              Successfully assigned mesh-app/loadgen-exp-031113-w7pgh to minikube
mesh-app        31m         Normal    Created                pod/loadgen-exp-031113-w7pgh                              Container created
mesh-app        31m         Normal    Started                pod/loadgen-exp-031113-w7pgh                              Container started
mesh-app        31m         Normal    Pulled                 pod/loadgen-exp-031113-w7pgh                              Container image "docker.io/istio/proxyv2:1.29.0" already present on machine and can be accessed by the pod
mesh-app        31m         Normal    Created                pod/loadgen-exp-031113-w7pgh                              Container created
mesh-app        31m         Normal    Started                pod/loadgen-exp-031113-w7pgh                              Container started
mesh-app        31m         Normal    Pulled                 pod/loadgen-exp-031113-w7pgh                              Container image "fortio/fortio:1.63.0" already present on machine and can be accessed by the pod
mesh-app        31m         Normal    Created                pod/loadgen-exp-031113-w7pgh                              Container created
mesh-app        31m         Warning   Failed                 pod/loadgen-exp-031113-w7pgh                              Error: failed to start container "fortio": Error response from daemon: failed to create task for container: failed to create shim task: OCI runtime create failed: runc create failed: unable to start container process: error during container init: exec: "/bin/sh": stat /bin/sh: no such file or directory
mesh-app        31m         Normal    Killing                pod/loadgen-exp-031113-w7pgh                              Stopping container istio-proxy
mesh-app        30m         Normal    Created                pod/loadgen-exp-031113-zjj5g                              Container created
mesh-app        30m         Normal    Scheduled              pod/loadgen-exp-031113-zjj5g                              Successfully assigned mesh-app/loadgen-exp-031113-zjj5g to minikube
mesh-app        30m         Normal    Pulled                 pod/loadgen-exp-031113-zjj5g                              Container image "docker.io/istio/proxyv2:1.29.0" already present on machine and can be accessed by the pod
mesh-app        30m         Normal    Started                pod/loadgen-exp-031113-zjj5g                              Container started
mesh-app        30m         Normal    SuccessfulCreate       job/loadgen-exp-031113                                    Created pod: loadgen-exp-031113-zjj5g
mesh-app        30m         Normal    Pulled                 pod/loadgen-exp-031113-zjj5g                              Container image "docker.io/istio/proxyv2:1.29.0" already present on machine and can be accessed by the pod
mesh-app        30m         Normal    Created                pod/loadgen-exp-031113-zjj5g                              Container created
mesh-app        30m         Normal    Started                pod/loadgen-exp-031113-zjj5g                              Container started
mesh-app        30m         Normal    Pulled                 pod/loadgen-exp-031113-zjj5g                              Container image "fortio/fortio:1.63.0" already present on machine and can be accessed by the pod
mesh-app        30m         Normal    Created                pod/loadgen-exp-031113-zjj5g                              Container created
